Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Travaux de Voirie / Wegeniswerken;Marché public (de travaux) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but l'installation d'un ossuaire dans le cimetière de Haren (bon de commande n° 21-0500-667).;Overheidsopdracht (voor werken) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de inrichting van een ossuarium in de begraafplaats van Haren (bestelbon nr. 21-0500-667).;2021-12-16;HOOLANTS BETON B.V., Holstraat 3-5, 1831 Diegem;34.814,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public de travaux ayant pour but le remplacement de la toiture du hangar situé Zavelstraat 95 à 1933 Sterrebeek, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016 (cahier spécial des charges n° TV/2021/101/EV).;Overheidsopdracht voor werken met als doel de vervanging van het dak van de opslagloods gelegen Zavelstraat 95 te 1933 Sterrebeek, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016 (bestek nr. TV/2021/101/EV).;2021-12-23;TECTUM CONSTRUCTORS, Brusselsesteenweg 188 A, 9090 Melle;161.969,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation de planchers en bois pour tentes (bon de commande n° 21-0500-925).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling van houten vloeren voor tenten (bestelbon nr. 21-0500-925).;2021-12-23;ENTREPRISE BLOMMAERT S.A., Tournibois 4, 7880 Flobecq;1.197,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;"Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation et le nettoyage du ""velum"" d'une tribune (bon de commande n° 21-0500-926).";"Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling en reiniging van de ""hemel"" van een tribune (bestelbon nr. 21-0500-926).";2021-12-23;NEW HOME INTERIORS, Kortenhoekstraat 123, 9308 Hofstade;2.395,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de services ayant pour but l’impression d'affiches de 2 m² pour le département Urbanisme;Openbare dienstverleningsopdracht voor het drukken van 2 m² affiches voor de dienst Stedenbouw;2021-03-19;Belguim Copy;451,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de fournitures ayant pour but la fourniture, l’installation et l’entretien, pendant 48 mois, de trois climatiseurs pour stations de mesure de la qualité de l’air;Overheidsopdracht voor leveringen, installatie en onderhoud, gedurende 48 maanden, van drie klimaatregelingsapparaten voor meetstations voor de luchtkwaliteit;2021-12-10;AVDV;10.466,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de fourniture ayant pour but l'achat de trois distributeurs de graines contraceptives pour pigeons;Overheidscontract voor leveringen voor de aankoop van drie dispensers van anticonceptiezaad voor duiven;2021-12-16;Galluvet;2.849,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2021-04-29;"MIELE; SOMEPRODUCTS";5.168,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2021-08-26;"MIELE; SOMEPRODUCTS; DESSART S.A.";3.788,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2022-01-13;"MIELE;  DESSART SA;
MARCEL & Co;
MT DESIGN S.P.R.L.";2.581,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2021-01-28;NILFISK S.A.;229,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2021-01-14;"SOMEPRODUCTS; LECOT S.A.; SPF FINANCES; MENCH INDUSTRY S.A.";1.842,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/19084 - 7670812402 - WF2392296 - Livres et abonnements;Leveringen - 21/19084 - 7670812402 - WF2392296 - Boeken en abonnementen;2021-04-03;Collectif (Tropismes, …);448.740,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/19082 - 7410812402 - WF2392296 - Livres et abonnements;Leveringen - 21/19082 - 7410812402 - WF2392296 - Boeken en abonnementen;2021-04-03;Collectif (Tropismes, …);51.500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/1574 - 7000812201 - WF2389051 - Pôle management 1/3 tranche 2021;Diensten - 21/1574 - 7000812201 - WF2389051 - Pôle management 1/3 tranche 2021;2021-04-03;Ferrer Formations;35.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/19081 - 7010812319 - WF2392296 - Livres et abonnements;Leveringen - 21/19081 - 7010812319 - WF2392296 - Boeken en abonnementen;2021-04-03;Collectif (Tropismes, …);28.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/1545 - 7220812317 - WF2367399 - Formation crise sanitaire;Diensten - 21/1545 - 7220812317 - WF2367399 - Formation crise sanitaire;2021-04-03;Entre-vues asbl;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/21934 - 7000812318 - WF2398190 - Assessments HEFF;Diensten - 21/21934 - 7000812318 - WF2398190 - Assessments HEFF;2021-01-04;RANDSTAD PROFESSIONALS SA/NV;7.356,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21641 - 7210812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21641 - 7210812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);11.480,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21638 - 7010812421 - WF2396711 - Livres et abonnements;Leveringen - 21/21638 - 7010812421 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);3.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21649 - 8710812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21649 - 8710812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);1.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/27983 - 7000812406 - WF2407249 - Réparation nap60-3;Diensten - 21/27983 - 7000812406 - WF2407249 - Herstelling nap60-3;2021-10-06;Some Products;5.828,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;"Services - 21/27959 - 7670812204 - WF2407203 - animations ""Heures joyeuses"" dans les parcs";"Diensten - 21/27959 - 7670812204 - WF2407203 - animations ""Heures joyeuses"" dans les parcs";2021-10-06;Deborah Lothe;2.040,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/30491 - 7000812317 - WF2412107 - Formation Mengale C.;Diensten - 21/30491 - 7000812317 - WF2412107 - Formation Mengale C.;2021-06-24;CENTRE FORMATION ET L'INTERVENTION PSYCHOSOCIOLOGIQUES ASBL;472,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/33524 - 7210812402 - WF2415529 - Livres et abonnements;Leveringen - 21/33524 - 7210812402 - WF2415529 - Boeken en abonnementen;2021-07-16;Collectif (Tropismes, …);37.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/33528 - 7310812402 - WF2415529 - Livres et abonnements;Leveringen - 21/33528 - 7310812402 - WF2415529 - Boeken en abonnementen;2021-07-16;Collectif (Tropismes, …);600,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/40348 - 7210812204 - WF2420413 - PROJET EMAM CIRQUE;Diensten - 21/40348 - 7210812204 - WF2420413 - PROJET EMAM CIRQUE;2021-09-16;ECOLE DE CIRQUE PRÈS DE CHEZ VOUS;5.760,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/43589 - 7000812201 - WF2424045 - Assessment HEFF;Diensten - 21/43589 - 7000812201 - WF2424045 - Assessment HEFF;2021-09-30;RANDSTAD PROFESSIONALS SA/NV;1.500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/42517 - 7000812316 - WF2425310 - Réparation NAP60-6;Diensten - 21/42517 - 7000812316 - WF2425310 - Herstelling NAP60-6;2021-07-10;LES FRERES DEBEKKER TRAITEUR SA;575,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41764 - 7000812204 - WF2422566 - Ateliers vocabulaire;Diensten - 21/41764 - 7000812204 - WF2422566 - Ateliers vocabulaire;2021-10-21;LES ATELIERS BAOBAB ASBL;9.600,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41890 - 7220812204 - WF2424393 - Ateliers vocabulaire;Diensten - 21/41890 - 7220812204 - WF2424393 - Ateliers vocabulaire;2021-10-21;LES ATELIERS BAOBAB ASBL;5.460,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41866 - 7210812204 - WF2424146 - Ateliers d'éveil musical;Diensten - 21/41866 - 7210812204 - WF2424146 - Ateliers d'éveil musical;2021-10-21;JEUNESSES MUSICALES DE LA REGION DE BRUXELLES-CAPITALE ASBL;3.727,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41592 - 7210812204 - WF2422210 - Teroubi;Diensten - 21/41592 - 7210812204 - WF2422210 - Teroubi;2021-10-21;TEROUBI ASBL;2.125,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/43611 - 7510812204 - WF2425685 - Formation autisme;Diensten - 21/43611 - 7510812204 - WF2425685 - Formation autisme;2021-10-21;Carlier Sophie;1.760,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41887 - 7220812317 - WF2424343 - Histoires en musique;Diensten - 21/41887 - 7220812317 - WF2424343 - Histoires en musique;2021-10-21;SMART secrétariat - productions associées;1.071,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/52998 - 7000812316 - WF2437254 - Réparation NAP60-8;Diensten - 21/52998 - 7000812316 - WF2437254 - Herstelling NAP60-8;2021-09-12;LES FRERES DEBEKKER TRAITEUR SA;6.691,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/53000 - 7000812406 - WF2437254 - Réparation NAP60-8;Diensten - 21/53000 - 7000812406 - WF2437254 - Herstelling NAP60-8;2021-09-12;Some Products;2.579,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/54677 - 7000812204 - WF2438938 - Animations vocabulaire;Diensten - 21/54677 - 7000812204 - WF2438938 - Animations vocabulaire;2021-12-16;LES ATELIERS BAOBAB ASBL;2.340,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/54676 - 7000812204 - WF2438938 - Spectacle de théâtre;Diensten - 21/54676 - 7000812204 - WF2438938 - Spectacle de théâtre;2021-12-16;LA MONTAGNE MAGIQUE;1.640,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/59595 - 7000812406 - WF2444819 - Réparation NAP60-9;Diensten - 21/59595 - 7000812406 - WF2444819 - Herstelling NAP60-9;2022-01-13;Some Products;13.006,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/21208 - 7000812406 - WF2396250 - Déménagement interne de l'imprimante grand format;Diensten - 21/21208 - 7000812406 - WF2396250 - Déménagement interne de l'imprimante grand format;;Degrobel;2.849,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/55027 - 7410812406 - WF2439402 - Promotion dans Art Press;Diensten - 21/55027 - 7410812406 - WF2439402 - Promotion dans Art Press;;ArtPress;1.594,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/43441 - 7000812317 - WF2425816 - Formation M. Van Hoef;Diensten - 21/43441 - 7000812317 - WF2425816 - Formation M. Van Hoef;;ERAP;589,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Rue Haute 275-281: Contrat de Quartier durable Les Marolles - essais de fondation partie 2 - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a)  & 92) - marché public de faible montant;Dienst - Hoogstraat 275-281: Duurzaam wijkcontract De Marollen - onderzoeken voorontwerp deel 2 - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a)  & 92) - Overheidsopdracht van beperkte waarde;2021-01-21;ALGEMENE BOUWWERKEN HENDRIK VEHENT bvba - Bremstraat 13 - 9250 Waasmunster;11.882,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Rue Haute 275-281: Contrat de Quartier durable Les Marolles - essais de fondation partie 2 - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a)  & 92) - marché public de faible montant;Dienst - Hoogstraat 275-281: Duurzaam wijkcontract De Marollen - onderzoeken voorontwerp deel 2 - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a)  & 92) - Overheidsopdracht van beperkte waarde;2021-01-21;DIEPSONDERINGEN FUNDERINGSADVIES VERBEKE - ‘t Lindeke 13 à 8880 Sint-Eloois-Winkel;3.448,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - impression de la brochure d’accueil et d’aide aux locataires - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Dienst - afdrukken van de brochure over het onthaal en de bijstand van huurders - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-01-14;Studio Oilinwater: 10 bte7.1 Place de l'Yser, 1000 Bruxelles;6.563,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Travaux - Cirque Royal_Réparation nacelle - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Koningklijk Circus - Werken: Herstelling nacelle- Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-04-03;firme HELI SA, Vantegemstraat 9 à 9230 Wetteren;210,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
